	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate synthase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 4-hydroxybenzoate 3-monooxygenase	0	0	1.00	0	0	0	0	0	0	0	3.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 4-hydroxybenzoate octaprenyltransferase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxybenzoyl-CoA thioesterase	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxybutyrate dehydrogenase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxyphenylacetate 3-hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxyphenylacetate 3-monooxygenase, reductase component	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxyphenylacetate catabolism regulatory protein HpaA	0	0	0	0	0	0	1.00	0	1.00	0	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxyphenylacetate isomerase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxyphenylpyruvate dioxygenase	0	0	0	0	0	2.00	2.00	0	1.00	2.00	0	2.00	0	0	2.00	1.00	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-oxalocrotonate decarboxylase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-oxalocrotonate tautomerase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: 4-oxalomesaconate tautomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 4Fe-4S binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4Fe-4S ferredoxin	0	0	0	0	0	1.00	3.00	0	0	2.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: 4a-hydroxytetrahydrobiopterin dehydratase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5'-nucleotidase	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5'/3'-nucleotidase SurE	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 5,10-methylenetetrahydrofolate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 5,6-dimethylbenzimidazole synthase	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase	0	1.00	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide synthase	0	0	0	0	0	0	0	0	0	1.00	1.00	0	1.00	1.00	0	0	0	0	0	2.00	0	0	0	0
MULTISPECIES: 5-carboxymethyl-2-hydroxymuconate isomerase	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	2.00	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 5-dehydro-2-deoxygluconokinase	1.00	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-dehydro-4-deoxyglucarate dehydratase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-formyltetrahydrofolate cyclo-ligase	0	0	0	1.00	0	0	3.00	0	0	2.00	0	0	0	0	0	3.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: 5-hydroxyisourate hydrolase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 5-keto-4-deoxy-D-glucarate aldolase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-methylcytosine-specific restriction enzyme A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
MULTISPECIES: 5-methylcytosine-specific restriction system specificity protein McrC	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 5-methyltetrahydrofolate--homocysteine methyltransferase	0	0	0	0	0	0	2.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	0	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-oxo-L-prolinase	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 5-oxoprolinase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: 50S rRNA methyltransferase	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L1	0	1.00	0	0	1.00	2.00	1.00	0	0	4.00	1.00	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	1.00
MULTISPECIES: 50S ribosomal protein L10	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	5.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L11	0	4.00	0	4.00	0	3.00	2.00	2.00	0	0	0	0	1.00	1.00	0	0	0	1.00	0	0	4.00	1.00	0	0
MULTISPECIES: 50S ribosomal protein L11 methyltransferase	0	0	0	0	0	1.00	1.00	0	0	1.00	0	1.00	0	0	1.00	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L13	0	0	0	0	0	0	2.00	0	2.00	1.00	1.00	1.00	0	1.00	0	2.00	0	1.00	0	0	3.00	0	0	0
MULTISPECIES: 50S ribosomal protein L14	1.00	0	0	0	0	1.00	2.00	0	0	3.00	0	1.00	0	1.00	1.00	2.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L15	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	1.00	0	0	0
MULTISPECIES: 50S ribosomal protein L16	1.00	0	4.00	0	0	7.00	6.00	1.00	0	0	0	0	1.00	1.00	0	1.00	0	1.00	0	2.00	3.00	1.00	1.00	0
MULTISPECIES: 50S ribosomal protein L17	0	0	0	0	0	0	1.00	0	0	2.00	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: 50S ribosomal protein L18	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L19	0	0	0	0	0	0	2.00	0	1.00	0	0	0	1.00	0	0	0	0	4.00	1.00	2.00	1.00	0	1.00	0
MULTISPECIES: 50S ribosomal protein L2	0	0	0	2.00	0	1.00	3.00	0	0	6.00	0	0	1.00	0	1.00	2.00	0	7.00	0	1.00	0	1.00	1.00	1.00
MULTISPECIES: 50S ribosomal protein L20	0	0	0	0	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L21	2.00	0	0	0	0	1.00	6.00	0	0	1.00	0	0	0	1.00	1.00	0	0	0	0	1.00	3.00	0	0	0
MULTISPECIES: 50S ribosomal protein L22	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	1.00
MULTISPECIES: 50S ribosomal protein L23	1.00	0	0	0	0	0	3.00	0	0	0	0	0	0	2.00	0	0	0	3.00	0	2.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L24	1.00	0	0	0	1.00	1.00	1.00	0	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L25	1.00	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L27	0	0	0	0	0	1.00	2.00	0	4.00	0	0	0	0	1.00	0	1.00	1.00	6.00	0	0	1.00	0	0	0
MULTISPECIES: 50S ribosomal protein L28	2.00	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	2.00	0	2.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L29	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 50S ribosomal protein L3	0	0	0	0	0	1.00	3.00	0	0	3.00	0	1.00	0	0	2.00	0	0	4.00	1.00	0	0	0	0	1.00
MULTISPECIES: 50S ribosomal protein L3 N(5)-glutamine methyltransferase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L30	0	0	0	1.00	0	0	1.00	0	1.00	1.00	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L31	0	0	0	0	0	0	2.00	0	0	3.00	0	1.00	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L31 type B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L33	0	0	0	2.00	0	0	1.00	0	2.00	1.00	0	0	1.00	1.00	0	3.00	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L34	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L35	0	0	0	0	0	0	1.00	0	0	0	0	1.00	1.00	1.00	0	2.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L36	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	5.00	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L4	0	0	0	0	0	3.00	2.00	0	0	1.00	0	0	0	1.00	1.00	1.00	0	6.00	0	1.00	0	1.00	0	0
MULTISPECIES: 50S ribosomal protein L5	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	1.00	0	0	1.00
MULTISPECIES: 50S ribosomal protein L6	0	2.00	0	0	0	2.00	2.00	0	2.00	1.00	0	0	0	1.00	2.00	1.00	1.00	1.00	0	2.00	0	0	0	0
MULTISPECIES: 50S ribosomal protein L7/L12	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 50S ribosomal protein L9	1.00	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase	0	1.00	0	0	0	0	1.00	0	0	0	1.00	1.00	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: 6-aminohexanoate hydrolase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 6-carboxyhexanoate--CoA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00
MULTISPECIES: 6-carboxytetrahydropterin synthase	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: 6-carboxytetrahydropterin synthase QueD	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 6-chlorohydroxyquinol-1,2-dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 6-hydroxynicotinate 3-monooxygenase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 6-phospho-beta-glucosidase	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 6-phosphofructokinase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 6-phosphogluconate dehydrogenase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 6-phosphogluconolactonase	0	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 6-pyruvoyltetrahydropterin synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 7,8-dihydro-8-oxoguanine-triphosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 7-carboxy-7-deazaguanine synthase	0	0	0	0	0	1.00	2.00	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 7-carboxy-7-deazaguanine synthase QueE	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 7-cyano-7-deazaguanine reductase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 7-cyano-7-deazaguanine synthase	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: 8-amino-7-oxononanoate synthase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: 8-oxo-dGTP diphosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 8-oxoguanine deaminase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: A/G-specific adenine glycosylase	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	0
MULTISPECIES: AAA ATPase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AAA family ATPase	0	1.00	0	0	0	0	0	1.00	1.00	1.00	0	1.00	0	2.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AAC(3) family N-acetyltransferase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ABC transporter	0	2.00	0	1.00	2.00	0	4.00	0	1.00	0	1.00	0	1.00	1.00	0	2.00	0	6.00	0	3.00	0	0	0	1.00
MULTISPECIES: ABC transporter ATP-binding protein	7.00	6.00	2.00	8.00	7.00	26.00	49.00	2.00	14.00	29.00	15.00	10.00	9.00	24.00	9.00	19.00	2.00	39.00	1.00	8.00	2.00	1.00	3.00	5.00
MULTISPECIES: ABC transporter ATP-binding protein, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: ABC transporter ATP-binding protein/permease	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ABC transporter ATPase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	2.00	0	0	0	0
MULTISPECIES: ABC transporter ATPase and permease	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ABC transporter permease	3.00	2.00	3.00	6.00	7.00	16.00	25.00	0	10.00	32.00	6.00	13.00	8.00	17.00	1.00	12.00	1.00	34.00	2.00	14.00	11.00	2.00	4.00	1.00
MULTISPECIES: ABC transporter substrate-binding protein	4.00	1.00	0	4.00	2.00	6.00	17.00	0	4.00	18.00	10.00	5.00	2.00	20.00	4.00	11.00	0	20.00	1.00	3.00	0	2.00	1.00	0
MULTISPECIES: ABC-ATPase UvrA	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ABC-F family ATPase	0	0	0	0	0	1.00	3.00	0	0	2.00	0	0	0	1.00	0	0	0	1.00	0	2.00	0	0	0	0
MULTISPECIES: ABC-F type ribosomal protection protein	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ACP phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: ADP compounds hydrolase NudE	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ADP-L-glycero-D-mannoheptose-6-epimerase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: ADP-glucose pyrophosphorylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ADP-glyceromanno-heptose 6-epimerase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ADP-heptose--LPS heptosyltransferase	0	0	0	0	0	1.00	0	0	0	0	0	3.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ADP-ribose diphosphatase	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: ADP-ribose pyrophosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ADP-ribosylglycohydrolase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: AGE family epimerase/isomerase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: AI-2E family transporter	0	0	0	0	0	1.00	1.00	0	2.00	1.00	0	0	0	2.00	0	1.00	0	4.00	0	0	0	2.00	0	0
MULTISPECIES: AMP nucleosidase	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: AMP-binding acetyl-CoA synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AMP-binding enzyme	0	1.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: AMP-binding protein	0	0	0	0	0	1.00	2.00	0	0	2.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AMP-dependent acyl-CoA synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AMP-dependent ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: AMP-dependent synthetase	0	0	1.00	0	0	0	4.00	0	0	1.00	0	0	0	1.00	0	2.00	0	3.00	0	0	0	0	1.00	0
MULTISPECIES: ANTAR domain-containing protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: AP endonuclease	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: AP2 domain-containing protein	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: APC family permease	1.00	0	0	2.00	0	4.00	3.00	0	4.00	8.00	0	3.00	2.00	0	1.00	1.00	1.00	2.00	0	1.00	0	0	0	0
MULTISPECIES: ASCH domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP phosphoribosyltransferase	0	0	0	0	0	0	2.00	0	0	2.00	0	0	1.00	1.00	0	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: ATP phosphoribosyltransferase regulatory subunit	0	0	0	0	0	3.00	1.00	0	0	0	0	0	0	1.00	0	1.00	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: ATP synthase F0 subunit C	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase F0F1 subunit A	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase F0F1 subunit I	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit B	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: ATP synthase subunit C	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit I	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit alpha	0	0	1.00	0	0	2.00	5.00	1.00	2.00	1.00	1.00	0	0	1.00	0	1.00	0	2.00	1.00	0	1.00	2.00	0	0
MULTISPECIES: ATP synthase subunit b 2	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit beta	0	0	0	0	1.00	1.00	5.00	0	0	1.00	0	0	0	2.00	0	1.00	1.00	3.00	0	0	1.00	5.00	0	0
MULTISPECIES: ATP synthase subunit delta	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: ATP synthase subunit gamma	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-binding protein	5.00	0	0	0	4.00	3.00	6.00	0	2.00	3.00	1.00	2.00	0	4.00	0	0	0	6.00	0	0	0	2.00	0	0
MULTISPECIES: ATP-binding protein, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent 6-phosphofructokinase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit ClpA	0	1.00	0	0	0	4.00	2.00	0	0	4.00	0	0	1.00	3.00	0	1.00	0	7.00	0	1.00	0	0	0	0
MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit ClpX	1.00	0	0	3.00	0	1.00	2.00	0	0	0	1.00	0	0	1.00	2.00	3.00	0	0	0	0	0	0	2.00	0
MULTISPECIES: ATP-dependent Clp protease adapter ClpS	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent Clp protease adaptor ClpS	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent Clp protease proteolytic subunit	0	0	0	1.00	0	0	2.00	1.00	1.00	1.00	0	0	0	1.00	0	0	0	2.00	0	3.00	0	0	0	0
MULTISPECIES: ATP-dependent DNA helicase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent DNA helicase DinG	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: ATP-dependent DNA helicase RecG	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent DNA helicase RecQ	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent DNA helicase Rep	0	0	0	0	0	1.00	2.00	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent DNA ligase	1.00	0	0	0	2.00	1.00	0	0	0	2.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent RNA helicase	1.00	0	0	0	0	1.00	2.00	0	1.00	1.00	3.00	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent RNA helicase DbpA	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ATP-dependent RNA helicase HrpA	0	0	0	0	0	0	1.00	0	0	2.00	0	1.00	0	2.00	0	1.00	0	1.00	0	2.00	0	0	0	0
MULTISPECIES: ATP-dependent RNA helicase RhlB	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: ATP-dependent acyl-CoA ligase	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	1.00	0	2.00	0	2.00	0	0	0	0	0	0
